keys,en,pl
KEY_GISP_KEY,Key,Klawisz
KEY_GISP_BUTTON,Button,Przycisk
KEY_GISP_JOYPAD,Controller,Kontroler
KEY_GISP_MOUSE,Mouse,Mysz
KEY_GISP_EMPTY,Empty,Brak
KEY_GISP_AXIS,axis,oś
KEY_GISP_VALUE,value,wartość

KEY_GISP_MOUSE_LEFT_BUTTON,left button,lewy przycisk
KEY_GISP_MOUSE_RIGHT_BUTTON,right button,prawy przycisk
KEY_GISP_MOUSE_MIDDLE_BUTTON,middle button,środkowy przycisk
KEY_GISP_MOUSE_WHEEL_UP,wheel up,kółko myszy w górę
KEY_GISP_MOUSE_WHEEL_DOWN,wheel down,kółko myszy w dół
KEY_GISP_MOUSE_WHEEL_LEFT,wheel left,kółko myszy w lewo
KEY_GISP_MOUSE_WHEEL_RIGHT,wheel w prawo,kółko myszy w prawo
KEY_GISP_MOUSE_THUMB_BUTTON_1,thumb button 1,przycisk boczny 1
KEY_GISP_MOUSE_THUMB_BUTTON_2,thumb button 2,przycisk boczny 2

KEY_GISP_AXIS_0_PLUS,left analog left,lewy analog w lewo
KEY_GISP_AXIS_0_MINUS,left analog right,lewy analog w prawo
KEY_GISP_AXIS_1_PLUS,left analog down,lewy analog w dół
KEY_GISP_AXIS_1_MINUS,left analog up,lewy analog w górę

KEY_GISP_AXIS_2_PLUS,right analog left,prawy analog w lewo
KEY_GISP_AXIS_2_MINUS,right analog right,prawy analog w prawo
KEY_GISP_AXIS_3_PLUS,right analog down,prawy analog w dół
KEY_GISP_AXIS_3_MINUS,right analog up,prawy analog w górę

KEY_GISP_AXIS_4_PLUS,left trigger,lewy spust
KEY_GISP_AXIS_4_MINUS,joystick 2 left,drążek 2 w lewo
KEY_GISP_AXIS_5_PLUS,right trigger,prawy spust
KEY_GISP_AXIS_5_MINUS,joystick 2 up,drążek 2 w górę

KEY_GISP_AXIS_6_PLUS,joystick 3 right,drążek 3 w prawo
KEY_GISP_AXIS_6_MINUS,joystick 3 left,drążek 3 w lewo
KEY_GISP_AXIS_7_PLUS,joystick 3 up,drążek 3 w górę
KEY_GISP_AXIS_7_MINUS,joystick 3 down,drążek 3 w dół
KEY_GISP_AXIS_8_PLUS,joystick 4 right,drążek 4 w prawo
KEY_GISP_AXIS_8_MINUS,joystick 4 left,drążek 4 w lewo
KEY_GISP_AXIS_9_PLUS,joystick 4 up,drążek 4 w górę
KEY_GISP_AXIS_9_MINUS,joystick 4 down,drążek 4 w dół
